,classes,3,4,12,15,18,22,33,Total,bacia,model,version,year
368,3,0,7,0,0,0,0,0,7,7622,RF,5,2014
369,4,1,24,0,0,0,0,0,25,7622,RF,5,2014
370,12,0,1,0,0,0,0,0,1,7622,RF,5,2014
371,15,0,2,0,2,0,0,0,4,7622,RF,5,2014
372,18,0,0,0,0,0,0,0,0,7622,RF,5,2014
373,22,0,0,0,0,0,0,0,0,7622,RF,5,2014
374,33,0,0,0,0,0,0,0,0,7622,RF,5,2014
375,Total,1,34,0,2,0,0,0,37,7622,RF,5,2014
376,3,1,15,1,0,0,0,0,17,7621,RF,6,2014
377,4,0,17,0,5,0,0,0,22,7621,RF,6,2014
378,12,0,1,0,0,0,0,0,1,7621,RF,6,2014
379,15,0,4,1,19,0,0,0,24,7621,RF,6,2014
380,18,0,0,0,0,0,0,0,0,7621,RF,6,2014
381,22,0,0,0,0,0,0,0,0,7621,RF,6,2014
382,33,0,0,0,0,0,0,0,0,7621,RF,6,2014
383,Total,1,37,2,24,0,0,0,64,7621,RF,6,2014
384,3,0,0,0,0,0,0,0,0,7617,RF,6,2010
385,4,0,100,14,10,0,2,0,126,7617,RF,6,2010
386,12,0,1,0,1,0,2,0,4,7617,RF,6,2010
387,15,0,2,2,10,0,6,0,20,7617,RF,6,2010
388,18,0,3,1,2,0,0,0,6,7617,RF,6,2010
389,22,0,0,0,0,0,0,0,0,7617,RF,6,2010
390,33,0,0,0,0,0,0,30,30,7617,RF,6,2010
391,Total,0,106,17,23,0,10,30,186,7617,RF,6,2010
392,3,0,0,0,0,0,0,0,0,7616,RF,6,2020
393,4,0,31,14,11,0,1,0,57,7616,RF,6,2020
394,12,0,1,2,0,0,0,0,3,7616,RF,6,2020
395,15,0,0,4,15,0,1,0,20,7616,RF,6,2020
396,18,0,2,1,0,0,0,0,3,7616,RF,6,2020
397,22,0,0,0,0,0,0,0,0,7616,RF,6,2020
398,33,0,0,0,0,0,0,0,0,7616,RF,6,2020
399,Total,0,34,21,26,0,2,0,83,7616,RF,6,2020
400,3,0,0,0,0,0,0,0,0,771,RF,7,2000
401,4,1,14,7,8,1,1,0,32,771,RF,7,2000
402,12,0,0,0,0,0,0,0,0,771,RF,7,2000
403,15,0,1,5,4,0,2,0,12,771,RF,7,2000
404,18,0,0,0,0,0,0,0,0,771,RF,7,2000
405,22,0,0,0,0,1,0,0,1,771,RF,7,2000
406,33,0,0,0,0,0,0,0,0,771,RF,7,2000
407,Total,1,15,12,12,2,3,0,45,771,RF,7,2000
408,3,1,1,0,0,0,0,0,2,745,RF,7,2016
409,4,20,6,2,0,0,0,0,28,745,RF,7,2016
410,12,0,0,0,0,0,0,0,0,745,RF,7,2016
411,15,0,0,0,0,1,0,0,1,745,RF,7,2016
412,18,0,0,0,0,0,0,0,0,745,RF,7,2016
413,22,0,0,0,0,0,0,0,0,745,RF,7,2016
414,33,0,0,0,0,0,0,0,0,745,RF,7,2016
415,Total,21,7,2,0,1,0,0,31,745,RF,7,2016
416,3,1,0,0,0,0,0,0,1,7619,RF,5,2014
417,4,1,29,4,0,0,0,0,34,7619,RF,5,2014
418,12,0,1,0,0,0,0,0,1,7619,RF,5,2014
419,15,0,1,0,3,0,0,0,4,7619,RF,5,2014
420,18,0,0,0,0,0,0,0,0,7619,RF,5,2014
421,22,0,0,0,0,0,0,0,0,7619,RF,5,2014
422,33,0,0,0,0,0,0,0,0,7619,RF,5,2014
423,Total,2,31,4,3,0,0,0,40,7619,RF,5,2014
424,3,1,0,0,0,0,0,0,1,775,RF,7,1990
425,4,0,1,0,0,1,0,0,2,775,RF,7,1990
426,12,0,0,0,0,0,0,0,0,775,RF,7,1990
427,15,0,2,0,1,1,1,1,6,775,RF,7,1990
428,18,0,0,0,0,0,0,0,0,775,RF,7,1990
429,22,0,0,0,0,0,0,0,0,775,RF,7,1990
430,33,0,0,0,0,0,0,0,0,775,RF,7,1990
