,area,classe,year,Colacao,Bacia,cobertura,cob_level1,cob_color,nat_color,total
1157,115232.3372519028,3,1998,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1158,1268157.3620296968,4,1998,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1159,4179.3024976145525,12,1998,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1160,2065732.844858156,21,1998,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1161,10197.05004689469,22,1998,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1162,18392.460743548272,29,1998,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1163,6796.545572574289,33,1998,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1164,114374.26233777216,3,1999,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1165,1248010.5029295264,4,1999,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1166,4985.166028293453,12,1999,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1167,2083149.484229477,21,1999,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1168,10351.353592631263,22,1999,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1169,21067.318292823216,29,1999,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1170,6749.815589878543,33,1999,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1171,113472.44549708224,3,2000,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1172,1231101.1642286442,4,2000,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1173,4414.478050411423,12,2000,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1174,2099092.5901536653,21,2000,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1175,10449.233767247664,22,2000,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1176,23397.45544791567,29,2000,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1177,6760.535855401278,33,2000,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1178,113033.46402102416,3,2001,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1179,1202865.8683047085,4,2001,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1180,8248.02924912073,12,2001,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1181,2122593.4989145584,21,2001,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1182,10980.026233502836,22,2001,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1183,23962.37380694748,29,2001,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1184,7004.642470559023,33,2001,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1185,107276.598929025,3,2002,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1186,1190076.3096835967,4,2002,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1187,12336.09513065873,12,2002,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1188,2135017.502233222,21,2002,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1189,11441.25731778065,22,2002,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1190,23893.738074526435,29,2002,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1191,8646.401631634908,33,2002,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1192,106042.0167767349,3,2003,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1193,1143906.537109669,4,2003,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1194,12380.551150928208,12,2003,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1195,2180919.2579927878,21,2003,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1196,11719.532299246066,22,2003,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1197,24913.776785067184,29,2003,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1198,8806.230886010055,33,2003,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1199,105614.57205614986,3,2004,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1200,1119690.2819910585,4,2004,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1201,10693.238437588738,12,2004,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1202,2205150.110221948,21,2004,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1203,12518.526650857975,22,2004,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1204,25188.53617673006,29,2004,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1205,9832.637466046792,33,2004,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1206,107153.69002491272,3,2005,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1207,1105053.6827934035,4,2005,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1208,14367.766932357632,12,2005,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1209,2214024.1240826254,21,2005,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1210,13052.42758425354,22,2005,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1211,25252.56334565164,29,2005,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1212,9783.64823721459,33,2005,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1213,110754.1020806055,3,2006,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1214,1084357.2124110356,4,2006,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1215,15139.126423555605,12,2006,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1216,2229671.879771729,21,2006,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1217,13914.013576112106,22,2006,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1218,25177.947975131698,29,2006,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1219,9673.620762271872,33,2006,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1220,111485.97798563994,3,2007,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1221,1091439.8437856066,4,2007,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1222,13030.336719311012,12,2007,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1223,2223443.2953249183,21,2007,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1224,14360.325202795611,22,2007,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1225,25237.350779951645,29,2007,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1226,9690.773202205808,33,2007,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1227,112714.07261362388,3,2008,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1228,1096037.3271662795,4,2008,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1229,15017.399295272186,12,2008,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1230,2215805.8696695934,21,2008,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1231,15101.578489513,22,2008,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1232,24709.000534891537,29,2008,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1233,9302.655231279015,33,2008,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1234,109457.25668957864,3,2009,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1235,1116873.7667679214,4,2009,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1236,12463.119229097423,12,2009,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1237,2199551.616683292,21,2009,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1238,17546.11389264061,22,2009,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1239,24647.53450848147,29,2009,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1240,8148.495229438825,33,2009,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1241,106775.38538464135,3,2010,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1242,1137402.9029816408,4,2010,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1243,12440.642631295665,12,2010,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1244,2184071.941966271,21,2010,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1245,18552.055230443748,22,2010,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1246,22126.03530740992,29,2010,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1247,7318.939498750811,33,2010,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1248,109910.41383911324,3,2011,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1249,1133029.0488980124,4,2011,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1250,19401.832866688263,12,2011,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1251,2176837.440286245,21,2011,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1252,18902.95085817708,22,2011,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1253,24106.49662303397,29,2011,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1254,6499.719629212954,33,2011,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1255,111021.97260109211,3,2012,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1256,1146270.4107750454,4,2012,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1257,18464.64584273279,12,2012,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1258,2160033.8156688744,21,2012,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1259,22209.933267668675,22,2012,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1260,24469.112425216143,29,2012,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1261,6218.012419873719,33,2012,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1262,114903.2886638033,3,2013,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1263,1143905.4997678872,4,2013,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1264,30917.17135688521,12,2013,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1265,2145922.360447922,21,2013,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1266,22629.617298750527,22,2013,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
1267,24790.69968093905,29,2013,Col80,772,Rocky Outcrop,Natural,#db4d4f,#32a65e,cobertura
1268,5619.265784278201,33,2013,Col80,772,Water,Natural,#112013,#32a65e,cobertura
1269,118121.81570096024,3,2014,Col80,772,Forest Formation,Natural,#1f8d49,#32a65e,cobertura
1270,1154175.9046479312,4,2014,Col80,772,Savanna Formation,Natural,#7dc975,#32a65e,cobertura
1271,42866.41487627143,12,2014,Col80,772,Grassland,Natural,#d6bc74,#32a65e,cobertura
1272,2122483.5276167737,21,2014,Col80,772,Mosaic of Uses,Antrópico,#edde8e,#FFFFB2,cobertura
1273,21047.301608734004,22,2014,Col80,772,Non vegetated area,Antrópico,#f5b3c8,#FFFFB2,cobertura
